Observer,Study Site,Trapline,Date,PIT,Microbrand,Sex,recap,Tail,mass,SVL,TVL,Notes
Allie_Essert,SVT,Butler8,6/19/2017,C10SVT061917,149,M,no,,107,683,230,
Kristen_Fouts,SVT,Butler2,6/29/2017,C10SVT062917,193,Unk,no,Unk,29,462,168,"Tail looked male, no probes small enough to confirm"
Matt_Cook,SVT,Butler7,7/2/2017,C10SVT070217,207,M,no,,41,495,185,
Matt_Cook,SVT,Butler7,7/2/2017,C12SVT070217,209,F,no,,332,774,162,
Matt_Cook,SVT,Butler7,7/2/2017,C13SVT070217,211,F,no,,273,841,264,
Julia_Ersan,SVT,Butler4,7/10/2017,C13SVT071017,235,F,no,,80,600,197,
Julia_Ersan,SVT,Butler7,7/10/2017,C14SVT071017,237,F,no,,159,730,224,
Rich_Kim,SVT,Butler2,6/16/2017,C1SVT061617,123,M,no,Unk,37,487,150,
Jonny_Shepherd,SVT,Butler2,6/17/2017,C1SVT061717,131,F,no,,143,681,198,
Alexa_Green,SVT,Butler2,6/20/2017,C1SVT062017,153,M,no,Unk,55,526,186,Anna J took photo. I forgot to take SLs :(
Dave_Keiter,SVT,Matteoli3,6/26/2017,C1SVT062617,180,F,no,,205,754,234,
Jonny_Shepherd,SVT,Butler2,6/27/2017,C1SVT062717,181,F,no,Full,324,837,237,
Kristen_Fouts,SVT,Butler8,6/29/2017,C1SVT062916,189,F,no,Unk,73,575,190,
Liz_Belo_Rex,SVT,Butler2,7/8/2017,C1SVT070817,223,F,no,,81,649,100,
"Liz_Belo_Rex,Volunteer",SVT,Butler1,7/9/2017,C1SVT070917,,F,no,,137,645,89,
Kristen_Fouts,SVT,Butler1,7/15/2017,C1SVT071517,259,F,no,Unk,102,690,220,
Alexa_Green,SVT,Matteoli1,6/14/2017,C2SVT061417,1117,F,no,,83,590,191,
Rich_Kim,SVT,Butler2,6/16/2017,C2SVT061617,125,F,no,Full,190,675,210,
Jonny_Shepherd,SVT,Butler2,6/17/2017,C2SVT061717,133,F,no,,89,554,89,Skipped split scale
Rich_Kim,SVT,Butler2,6/22/2017,C2SVT062217,163,F,no,Unk,143,615,200,
Alex_Fulton,SVT,Butler8,6/25/2017,C2SVT062517,1173,F,no,,81,615,194,
Jonny_Shepherd,SVT,Butler1,6/27/2017,C2SVT062717,183,F,no,,183,723,234,
Julia_Ersan,SVT,Butler1,7/10/2017,C2SVT0671017,229,F,no,,113,655,140,
Jessie_Vargas,SVT,Matteoli5,7/2/2017,C2SVT070217,19,F,no,,135,700,215,Photo @ 10:15
Alex_Fulton,SVT,Butler7,7/8/2017,C2SVT070817,225,F,no,,91,628,218,
Kristen_Fouts,SVT,Butler2,7/13/2017,C2SVT071317,253,F,no,Unk,163,750,157,
Kristen_Fouts,SVT,Butler2,7/15/2017,C2SVT071517,261,F,no,Unk,58,550,175,
Julia_Ersan,SVT,Butler4,6/15/2017,C3SVT061517,97,Unk,no,,74,560,186,Probably males. Probe went deeper than typical female gigas but not as deep as typical male gigas
Anna_Jordan,SVT,Butler7,6/16/2017,C3SVT061617,127,M,no,,74,575,207,
Jonny_Shepherd,SVT,Butler2,6/17/2017,C3SVT061717,135,F,no,,90,605,195,
Jessie_Vargas,SVT,Matteoli5,6/18/2017,C3SVT061717,145,F,no,,38,495,179,
Alexa_Green,SVT,Butler7,6/20/2017,C3SVT062017,155,F,no,,210,806,196,
Rich_Kim,SVT,Butler2,6/22/2017,C3SVT062217,165,F,no,Unk,233,760,220,
Anna_Jordan,SVT,Butler7,6/28/2017,C3SVT062817,187,F,no,,98,602,71,
Alex_Fulton,SVT,Butler1,7/1/2017,C3SVT070117,195,F,no,,93,592,199,
Sam_West,SVT,Butler2,7/6/2017,C3SVT070617,219,M,no,,42,520,196,
Kristen_Fouts,SVT,Butler4,7/11/2017,C3SVT071117,243,F,no,Blunt,218,745,80,
Kristen_Fouts,SVT,Butler4,7/15/2017,C3SVT071517,239,F,no,Unk,102,660,109,
Anna_Prang,SVT,Matteoli2,6/13/2017,C4SVT061317,13,F,no,,84,605,195,
Julia_Ersan,SVT,Butler4,6/15/2017,C4SVT061517,123,M,no,,28,415,152,1st split scale skipped
Rich_Kim,SVT,Butler4,6/16/2017,C4SVT061617,129,F,no,Unk,90,635,195,
Jonny_Shepherd,SVT,Butler7,6/17/2017,C4SVT061717,137,F,no,,84,590,185,
Anna_Jordan,SVT,Butler4,6/19/2017,C4SVT061917,147,M,no,,53,537,202,
Alexa_Green,SVT,Butler7,6/23/2017,C4SVT062317,167,F,no,Unk,173,745,230,Took photo
Trisha_Velasquez,SVT,Butler7,6/28/2017,C4SVT062817,185,M,no,,42,476,180,
Kristen_Fouts,SVT,Butler7,6/29/2017,C4SVT062917,191,F,no,Unk,350,890,152,
Matt_Cook,SVT,Butler8,7/2/2017,C4SVT070217,203,F,no,Unk,604,1040,285,
Anna_Jordan,SVT,Butler7,7/3/2017,C4SVT070317,213,M,no,,42,511,136,
Sam_West,SVT,Butler1,7/6/2017,C4SVT070617,221,F,no,,279,844,262,
Julia_Ersan,SVT,Butler1,7/10/2017,C4SVT071017,231,M,no,,38,495,170,
Kristen_Fouts,SVT,Butler4,7/11/2017,C4SVT071117,241,F,no,,38,540,180,Forgot to note tail
Diana_Munoz,SVT,Butler4,7/12/2017,C4SVT071217,245,F,no,,153,658,207,
Liz_Belo_Rex,SVT,Matteoli5,7/14/2017,C4SVT071417,23,M,no,,52,503,181,
Alex_Fulton,SVT,Butler4,6/13/2017,C5SVT061317,115,F,no,,84,594,198,
Anna_Prang,SVT,Butler4,6/14/2017,C5SVT061417,117,M,no,,69,565,210,
Alex_Fulton,SVT,Butler4,6/24/2017,C5SVT062417,171,M,no,,70,572,206,
Alex_Fulton,SVT,Butler2,6/25/2017,C5SVT062517,177,F,no,,126,785,165,
Alex_Fulton,SVT,Butler8,7/1/2017,C5SVT070117,197,F,no,,98,654,217,
Anna_Jordan,SVT,Butler4,7/3/2017,C5SVT070317,215,F,no,,75,609,201,
Kristen_Fouts,SVT,Butler7,7/11/2017,C5SVT071117,339,F,no,Full,107,615,205,Super bitey
Diana_Munoz,SVT,Butler4,7/12/2017,C5SVT071217,247,M,no,,61,509,81,
Kristen_Fouts,SVT,Butler7,7/13/2017,C5SVT071317,255,F,no,Unk,153,725,244,
Liz_Belo_Rex,SVT,Matteoli5,7/14/2017,C5SVT071417,25,M,no,,66,531,190,
Alex_Fulton,SVT,Butler2,6/13/2017,C6SVT061317,113,F,no,,85,555,184,
Julia_Ersan,SVT,Butler8,6/15/2017,C6SVT061517,121,F,no,,66,540,180,
Jonny_Shepherd,SVT,Butler7,6/17/2017,C6SVT061717,139,M,no,,75,564,204,
Anna_Jordan,SVT,Butler2,6/20/2017,C6SVT062017,157,F,no,,149,709,224,
Alexa_Green,SVT,Butler2,6/23/2017,C6SVT062317,175,F,no,Unk,61,537,175,
Anna_Jordan,SVT,Butler4,7/3/2017,C6SVT070317,217,F,no,,208,691,211,
Diana_Munoz,SVT,Butler7,7/12/2017,C6SVT071217,249,F,no,,455,870,249,
Liz_Belo_Rex,SVT,Matteoli5,7/14/2017,C6SVT071417,27,F,no,,117,681,214,
Matt_Cook,SVT,Butler8,6/21/2017,C6SVT072117,161,F,no,,338,893,255,
Allie_Essert,SVT,Matteoli5,6/2/2017,C7SVT060217,11,M,no,,279,764,215,
Julia_Ersan,SVT,Butler8,6/15/2017,C7SVT061517,119,F,no,,318,880,257,
Jonny_Shepherd,SVT,Butler7,6/17/2017,C7SVT061717,141,M,no,,112,624,229,Skipped split scale
Allie_Essert,SVT,Butler8,6/19/2017,C7SVT061917,151,M,no,,77,556,200,
Alex_Fulton,SVT,Butler8,6/21/2017,C7SVT062117,159,M,no,,60,520,191,
Alex_Fulton,SVT,Butler4,6/25/2017,C7SVT062517,175,M,no,,65,580,187,
Jessie_Vargas,SVT,Matteoli5,6/29/2017,C7SVT062917,15,F,no,,64,570,280,
Alex_Fulton,SVT,Butler4,7/1/2017,C7SVT070117,199,F,no,,58,553,180,
Matt_Cook,SVT,Butler4,7/2/2017,C7SVT070217,205,M,no,,36,473,181,Data recorder did not write supralabials
Alex_Fulton,SVT,Matteoli5,7/10/2017,C7SVT071017,21,F,no,,87,580,200,
Kristen_Fouts,SVT,Butler8,7/15/2017,C7SVT071517,263,F,no,,58,620,206,"Skinny, flabby skin "
Zarina_Sheikh,SVT,Matteoli5,6/25/2017,C8SVT062517,173,F,no,,67,612,193,
Jessie_Vargas,SVT,Matteoli5,6/29/2017,C8SVT062917,17,M,no,,52,570,205,Ignore split
Cierra_Scriven,SVT,Butler7,6/30/2017,C8SVT063017,194,F,no,Blunt,250,799,65,"Tail largely missing, right side of face too damaged for accurate scale count"
Alex_Fulton,SVT,Butler4,7/1/2017,C8SVT070117,201,F,no,,275,874,207,
Julia_Ersan,SVT,Butler2,7/10/2017,C8SVT071017,233,F,no,,63,560,175,
Diana_Munoz,SVT,Butler8,7/12/2017,C8SVT071217,251,M,no,,24,411,146,
Jonny_Shepherd,SVT,Butler8,6/17/2017,C9SVT061717,143,M,no,,105,609,200,
Alex_Fulton,SVT,Butler1,6/25/2017,C9SVT062517,179,F,no,,70,609,153,
